window_id,filename,window_num,label,label_text
AS2902001.csv|w1,AS2902001.csv,1,0,Normal
AS2902001.csv|w2,AS2902001.csv,2,0,Normal
AS2902001.csv|w3,AS2902001.csv,3,0,Normal
AS2902001.csv|w4,AS2902001.csv,4,0,Normal
AS2902001.csv|w5,AS2902001.csv,5,0,Normal
AS2902001.csv|w6,AS2902001.csv,6,0,Normal
AS2902001.csv|w7,AS2902001.csv,7,0,Normal
AS2902001.csv|w8,AS2902001.csv,8,0,Normal
AS2902001.csv|w9,AS2902001.csv,9,0,Normal
AS2902001.csv|w10,AS2902001.csv,10,0,Normal
AS2902001.csv|w11,AS2902001.csv,11,0,Normal
AS2902001.csv|w12,AS2902001.csv,12,0,Normal
AS2902001.csv|w13,AS2902001.csv,13,0,Normal
AS2902001.csv|w14,AS2902001.csv,14,0,Normal
AS2902001.csv|w15,AS2902001.csv,15,0,Normal
AS2902001.csv|w16,AS2902001.csv,16,0,Normal
AS2902001.csv|w17,AS2902001.csv,17,0,Normal
AS2902001.csv|w18,AS2902001.csv,18,0,Normal
AS2902001.csv|w19,AS2902001.csv,19,0,Normal
AS2902001.csv|w20,AS2902001.csv,20,0,Normal
AS2902001.csv|w21,AS2902001.csv,21,0,Normal
AS2902001.csv|w22,AS2902001.csv,22,0,Normal
AS2902001.csv|w23,AS2902001.csv,23,0,Normal
AS2902001.csv|w24,AS2902001.csv,24,0,Normal
AS2902001.csv|w25,AS2902001.csv,25,0,Normal
AS2902001.csv|w26,AS2902001.csv,26,0,Normal
AS2902001.csv|w27,AS2902001.csv,27,0,Normal
AS2902001.csv|w28,AS2902001.csv,28,0,Normal
AS2902001.csv|w29,AS2902001.csv,29,0,Normal
AS2902001.csv|w30,AS2902001.csv,30,1,AFib
AS2902001.csv|w31,AS2902001.csv,31,0,Normal
AS2902001.csv|w32,AS2902001.csv,32,0,Normal
AS2902001.csv|w33,AS2902001.csv,33,0,Normal
AS2902001.csv|w34,AS2902001.csv,34,0,Normal
AS2902001.csv|w35,AS2902001.csv,35,0,Normal
AS2902001.csv|w36,AS2902001.csv,36,0,Normal
AS2902001.csv|w37,AS2902001.csv,37,0,Normal
AS2902001.csv|w38,AS2902001.csv,38,0,Normal
AS2902001.csv|w39,AS2902001.csv,39,0,Normal
AS2902001.csv|w40,AS2902001.csv,40,0,Normal
AS2902001.csv|w41,AS2902001.csv,41,0,Normal
AS2902001.csv|w42,AS2902001.csv,42,0,Normal
AS2902001.csv|w43,AS2902001.csv,43,0,Normal
AS2902001.csv|w44,AS2902001.csv,44,0,Normal
AS2902001.csv|w45,AS2902001.csv,45,-2,Tidak Terdeteksi
AS2902001.csv|w46,AS2902001.csv,46,0,Normal
AS2902001.csv|w47,AS2902001.csv,47,0,Normal
AS2902001.csv|w48,AS2902001.csv,48,0,Normal
AS2902001.csv|w49,AS2902001.csv,49,0,Normal
AS2902001.csv|w50,AS2902001.csv,50,0,Normal
AS2902001.csv|w51,AS2902001.csv,51,0,Normal
AS2902001.csv|w52,AS2902001.csv,52,0,Normal
AS2902001.csv|w53,AS2902001.csv,53,0,Normal
AS2902001.csv|w54,AS2902001.csv,54,0,Normal
AS2902001.csv|w55,AS2902001.csv,55,0,Normal
CL2810001.csv|w1,CL2810001.csv,1,0,Normal
CL2810001.csv|w2,CL2810001.csv,2,0,Normal
CL2810001.csv|w3,CL2810001.csv,3,0,Normal
CL2810001.csv|w4,CL2810001.csv,4,0,Normal
CL2810001.csv|w5,CL2810001.csv,5,0,Normal
CL2810001.csv|w6,CL2810001.csv,6,0,Normal
CL2810001.csv|w7,CL2810001.csv,7,0,Normal
CL2810001.csv|w8,CL2810001.csv,8,0,Normal
CL2810001.csv|w9,CL2810001.csv,9,0,Normal
CL2810001.csv|w10,CL2810001.csv,10,0,Normal
CL2810001.csv|w11,CL2810001.csv,11,0,Normal
CL2810001.csv|w12,CL2810001.csv,12,0,Normal
CL2810001.csv|w13,CL2810001.csv,13,0,Normal
CL2810001.csv|w14,CL2810001.csv,14,0,Normal
CL2810001.csv|w15,CL2810001.csv,15,0,Normal
CL2810001.csv|w16,CL2810001.csv,16,0,Normal
CL2810001.csv|w17,CL2810001.csv,17,0,Normal
CL2810001.csv|w18,CL2810001.csv,18,0,Normal
CL2810001.csv|w19,CL2810001.csv,19,0,Normal
CL2810001.csv|w20,CL2810001.csv,20,0,Normal
CL2810001.csv|w21,CL2810001.csv,21,1,AFib
CL2810001.csv|w22,CL2810001.csv,22,0,Normal
CL2810001.csv|w23,CL2810001.csv,23,0,Normal
CL2810001.csv|w24,CL2810001.csv,24,0,Normal
CL2810001.csv|w25,CL2810001.csv,25,0,Normal
CL2810001.csv|w26,CL2810001.csv,26,0,Normal
CL2810001.csv|w27,CL2810001.csv,27,0,Normal
CL2810001.csv|w28,CL2810001.csv,28,0,Normal
CL2810001.csv|w29,CL2810001.csv,29,0,Normal
CL2810001.csv|w30,CL2810001.csv,30,0,Normal
CL2810001.csv|w31,CL2810001.csv,31,0,Normal
CL2810001.csv|w32,CL2810001.csv,32,0,Normal
CL2810001.csv|w33,CL2810001.csv,33,0,Normal
CL2810001.csv|w34,CL2810001.csv,34,0,Normal
CL2810001.csv|w35,CL2810001.csv,35,0,Normal
CL2810001.csv|w36,CL2810001.csv,36,0,Normal
CL2810001.csv|w37,CL2810001.csv,37,0,Normal
CL2810001.csv|w38,CL2810001.csv,38,0,Normal
CL2810001.csv|w39,CL2810001.csv,39,0,Normal
CL2810001.csv|w40,CL2810001.csv,40,0,Normal
CL2810001.csv|w41,CL2810001.csv,41,0,Normal
CL2810001.csv|w42,CL2810001.csv,42,0,Normal
CL2810001.csv|w43,CL2810001.csv,43,0,Normal
CL2810001.csv|w44,CL2810001.csv,44,0,Normal
CL2810001.csv|w45,CL2810001.csv,45,0,Normal
CL2810001.csv|w46,CL2810001.csv,46,0,Normal
CL2810001.csv|w47,CL2810001.csv,47,0,Normal
CL2810001.csv|w48,CL2810001.csv,48,0,Normal
CL2810001.csv|w49,CL2810001.csv,49,0,Normal
CL2810001.csv|w50,CL2810001.csv,50,0,Normal
CL2810001.csv|w51,CL2810001.csv,51,0,Normal
CL2810001.csv|w52,CL2810001.csv,52,0,Normal
CL2810001.csv|w53,CL2810001.csv,53,0,Normal
CL2810001.csv|w54,CL2810001.csv,54,0,Normal
CL2810001.csv|w55,CL2810001.csv,55,0,Normal
CL2810002.csv|w1,CL2810002.csv,1,0,Normal
CL2810002.csv|w2,CL2810002.csv,2,0,Normal
CL2810002.csv|w3,CL2810002.csv,3,0,Normal
CL2810002.csv|w4,CL2810002.csv,4,0,Normal
CL2810002.csv|w5,CL2810002.csv,5,0,Normal
CL2810002.csv|w6,CL2810002.csv,6,0,Normal
CL2810002.csv|w7,CL2810002.csv,7,0,Normal
CL2810002.csv|w8,CL2810002.csv,8,0,Normal
CL2810002.csv|w9,CL2810002.csv,9,0,Normal
CL2810002.csv|w10,CL2810002.csv,10,0,Normal
CL2810002.csv|w11,CL2810002.csv,11,0,Normal
CL2810002.csv|w12,CL2810002.csv,12,0,Normal
CL2810002.csv|w13,CL2810002.csv,13,0,Normal
CL2810002.csv|w14,CL2810002.csv,14,0,Normal
CL2810002.csv|w15,CL2810002.csv,15,0,Normal
CL2810002.csv|w16,CL2810002.csv,16,0,Normal
CL2810002.csv|w17,CL2810002.csv,17,0,Normal
CL2810002.csv|w18,CL2810002.csv,18,0,Normal
CL2810002.csv|w19,CL2810002.csv,19,0,Normal
CL2810002.csv|w20,CL2810002.csv,20,0,Normal
CL2810002.csv|w21,CL2810002.csv,21,0,Normal
CL2810002.csv|w22,CL2810002.csv,22,0,Normal
CL2810002.csv|w23,CL2810002.csv,23,0,Normal
CL2810002.csv|w24,CL2810002.csv,24,0,Normal
CL2810002.csv|w25,CL2810002.csv,25,0,Normal
CL2810002.csv|w26,CL2810002.csv,26,0,Normal
CL2810002.csv|w27,CL2810002.csv,27,0,Normal
CL2810002.csv|w28,CL2810002.csv,28,0,Normal
CL2810002.csv|w29,CL2810002.csv,29,0,Normal
CL2810002.csv|w30,CL2810002.csv,30,0,Normal
CL2810002.csv|w31,CL2810002.csv,31,0,Normal
CL2810002.csv|w32,CL2810002.csv,32,0,Normal
CL2810002.csv|w33,CL2810002.csv,33,0,Normal
CL2810002.csv|w34,CL2810002.csv,34,0,Normal
CL2810002.csv|w35,CL2810002.csv,35,0,Normal
CL2810002.csv|w36,CL2810002.csv,36,0,Normal
CL2810002.csv|w37,CL2810002.csv,37,0,Normal
CL2810002.csv|w38,CL2810002.csv,38,0,Normal
CL2810002.csv|w39,CL2810002.csv,39,0,Normal
